Grant Name,Administering Body,Grant Purpose,Application Deadline,Deadline Type,Deadline Date,Deadline Status,Days Until Deadline,Deadline Notes,Expired,Funding Amount,Funding Min Amount,Funding Max Amount,Funding Currency,Funding Amount (AUD),Parsing Confidence,Parsing Notes,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
Hospital Research Foundation Group Grants,The Hospital Research Foundation Group,Support medical research in South Australia across 60+ disease areas,Varies by grant round - check current opportunities,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"Varies by grant type (e.g., up to $100,000 for some project grants)",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Varies by grant,South Australian researchers; Varies by specific grant program,Research quality; Impact potential; Relevance to priority areas,Varies by grant type,https://hospitalresearch.org.au/research-and-services/grants/current-opportunities/,Varies
Kenneth Myer Innovation Fellowships,The Myer Foundation & Sidney Myer Fund,12-month fellowship for breakthrough solutions to social/environmental challenges,EOI opens: 14 July 2025; EOI closes: 17 August 2025; Interviews: February 2026,SPECIFIC,2025-07-14 to 2025-08-17,PAST,,EOI required,Yes,"$180,000 ($140,000 stipend + $40,000 project expenses)","40,000","180,000",AUD,"180,000",MEDIUM,"Range: 40,000 - 180,000",None required,Australian citizen/permanent resident; Proven track record; Project <3 years in development; Must take 12-month sabbatical,High impact potential; Innovation/uniqueness; Scalability; Track record; Passion; Networks,"High - EOI, detailed application, interviews",https://www.myerfoundation.org.au/grant-opportunities-list/Kenneth-myer-innovation-fellowships,Complex
Silk Roads Youth Research Grant,UNESCO,Mobilize young researchers (under 35) to undertake further study on the shared heritage of the Silk Roads,Varies by year (2023 call: March 8 - June 14),MULTIPLE,,ONGOING,,Multiple deadlines throughout year,Yes,"USD $10,000 per research project (12 grants available)","10,000","10,000",USD,"15,200",HIGH,Standard amount,Not specified,Postgraduate researchers aged 35 and younger from all countries,"Cultural heritage focus, research innovation, and cross-cultural understanding",Moderate - requires research proposal focusing on cultural interactions,https://en.unesco.org/silkroad/,Moderate
UNESCO Fellowships,"United Nations Educational, Scientific and Cultural Organization (UNESCO)","Provide financial assistance for research and practical training across education, science, culture, and communication",Various deadlines throughout the year,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,Varies by fellowship (450+ offered annually),,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Varies by program,"Students, PhD candidates, early-career professionals, and project initiators globally","Alignment with UNESCO priorities, research excellence, and global benefit potential",Moderate - varies by specific fellowship program,https://en.unesco.org/,Moderate
University of Melbourne - Translational Research Grants,University of Melbourne,"Bridge the gap between fundamental research discoveries and their commercialization or real-world impact in fields such as health, engineering, IT, and sciences","Annual, typically March/April",ANNUAL,,ONGOING,,Annual application cycle,No,"AUD $50,000 - $200,000 for 1-2 years","50,000","200,000",AUD,"200,000",MEDIUM,"Range: 50,000 - 200,000","Not explicitly stated, but leveraging existing university resources is expected","University of Melbourne researchers, often requiring collaboration with industry or clinical partners","Translational potential, market opportunity, intellectual property considerations, and feasibility",Moderate - requires clear pathway to impact and IP considerations,https://research.unimelb.edu.au/funding/internal-grants,Moderate
Victorian Building Authority Research Grant Program,Victorian Building Authority,Built environment safety and compliance research,Next round expected 2025 (Round 3 closed April 2024),CLOSED,,CLOSED,,Round 3,Yes,"$30,000 - $110,000 (previous rounds)","30,000","110,000",AUD,"110,000",MEDIUM,"Range: 30,000 - 110,000",Not specified,Australian universities,Research relevance to building safety and compliance,Moderate,https://www.vba.vic.gov.au/,Moderate
Victoria Higher Education State Investment Fund (HESIF),Victorian Department of Education and Training,"Support strategic infrastructure and research projects in Victorian universities, aligning with the Victorian Government's priorities for higher education and research","Specific calls, various dates",MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"Significant, multi-year funding (AUD $1M - $20M+)","1,000,000","20,000,000",AUD,"20,000,000",MEDIUM,"Range: 1,000,000 - 20,000,000",Significant mandatory co-contribution from the applicant university,Victorian universities,"Strategic alignment with state priorities, scale and impact of project, financial viability, and governance",Very Complex - large scale funding with significant co-contribution requirements,https://www.education.vic.gov.au/about/programs/pages/hesif.aspx,Complex
Victorian GP Training Grants,Victorian Department of Health,Incentivize medical graduates to pursue GP training,Ongoing (400 additional grants available in 2025),ROLLING,,ONGOING,,Applications accepted continuously,No,"Up to $40,000","40,000","40,000",AUD,"40,000",HIGH,Up to amount,None specified,Medical graduates enrolled in Victorian GP training programs (preference for Australian graduates and rural trainees),Training program enrollment and regional preference,Simple - application through RACGP or ACRRM after training acceptance (59% of recipients training in regional Victoria),https://www.health.vic.gov.au/,Low
Mental Health and Wellbeing Workforce Scholarship Program (Victoria),Victorian Department of Health,Support mental health workforce development and upskilling,Open for 2025 course enrolment,OTHER,,UNKNOWN,,Standard deadline,Yes,Variable amounts for course fees and professional development,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Career development commitment,"Mental health nurses, allied health professionals, AOD practitioners, lived experience workers (1,200+ workers benefiting, 17% workforce growth 2021-2023)",Career development potential and mental health focus,Moderate - requires career development plan,https://www.health.vic.gov.au/,Moderate
Victorian Investment Fund - Health Technology Stream,"Victorian Department of Jobs, Skills, Industry and Regions",Support health and digital technology commercialization,Ongoing applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"Variable, part of $35 million available in 2024-25",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Required,"Victorian companies, focus on commercialization","Commercial potential, innovation, job creation",Complex - requires detailed business case,https://djsir.vic.gov.au/,Complex
Victorian Medical Research Acceleration Fund Round 8 (Anticipated),"Victorian Department of Jobs, Skills, Industry and Regions",Accelerate health and medical research translation,To be announced,TBA,,TBA,,Standard deadline,No,"Tier 1: up to $100,000; Tier 2: up to $500,000","100,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 100,000 - 500,000; Tiered/multi-stream funding",Typically required,Victorian research institutions,"Translation potential, innovation, collaboration",Moderate - requires clear translation pathway,https://djsir.vic.gov.au/medical-research/sector-support/Victorian-Medical-Research-Acceleration-Fund,Moderate
Victorian Medical Research Acceleration Fund 2025,"Victorian Government - Department of Jobs, Skills, Industry and Regions (DJSIR)",Accelerates health and medical research and fast-tracks innovative projects from research to real-world impact,Round 8 expected 2025 (Round 7 closed late 2024),CLOSED,,CLOSED,,Round 8,Yes,"Tier 1: Up to $100,000; Tier 2: Up to $500,000","100,000","500,000",AUD,"500,000",MEDIUM,"Up to amount; Range: 100,000 - 500,000; Tiered/multi-stream funding",Not specified,Victorian research institutions and industry partners; translational potential required,"Feasibility, innovation, health system impact",Moderate,https://djsir.vic.gov.au/medical-research/sector-support/Victorian-Medical-Research-Acceleration-Fund,Moderate
Victoria Women's Health Research Catalyst Grants 2025,Victorian Government - Invest Victoria,Provides seed funding to support innovative research into women's health in historically underfunded areas,2025 round completed; next round expected 2026,CLOSED,,CLOSED,,Standard deadline,No,"$15,000 to $150,000 AUD per project","15,000","150,000",AUD,"150,000",MEDIUM,"Range: 15,000 - 150,000",Not specified,"Victorian researchers conducting health/medical research in discovery, pre-clinical, clinical, or lived experience domains","Innovation, contribution to new models of care, women's health focus",Moderate,https://www.invest.vic.gov.au/news-and-events/news/2025/july/victoria-backs-innovative-womens-health-research-with-new-r-and-d-grants,Moderate
WA Future Health Research and Innovation Fund - Multiple Programs,WA Department of Health / Office of Medical Research and Innovation,Support health and medical research infrastructure and innovation,Various programs throughout 2025,MULTIPLE,,ONGOING,,Multiple deadlines throughout year,Yes,Up to $35 million available in 2025,"35,000,000","35,000,000",AUD,"35,000,000",HIGH,Up to amount,Typically required,"WA research institutions, hospitals, companies","Strategic alignment, innovation, capacity building",Complex - varies by program stream,https://www.wa.gov.au/government/media-statements,Complex
Western Australia -- Early/Mid-Career Preventive Health Fellowships,WA Future Health Research & Innovation Fund and The Hospital Research Foundation,"3-year fellowships for WA researchers to develop preventive-health interventions for priority populations (Aboriginal, rural, CALD, etc.)",2 July 2025 (closed),CLOSED,2/07/2025,CLOSED,,Standard deadline,Yes,Up to 5 fellowships at $400k maximum each covering salary and research costs,"400,000","400,000",AUD,"400,000",HIGH,Up to amount,Grants cover full costs,Western Australian institutions; early/mid-career (emerging leaders) researchers,"Competitive selection (peer review, emphasis on equity impact)",High - full fellowship proposal required,https://fhrifund.health.wa.gov.au/,Complex
Wellcome Trust Global Health Initiatives,Wellcome Trust,Support global health research addressing health inequities,"Various schemes with rolling deadlines; September 30, 2025",ROLLING,,ONGOING,,Applications accepted continuously,Yes,"£50,000-£2 million (varies by scheme) for up to 5 years",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Varies by program,"UK, Ireland, and low/middle-income countries (excluding India/China); Early Career Awards for early-career researchers","Scientific excellence, global health impact, innovation",Complex - international competition,https://wellcome.org/research-funding/schemes/wellcome-early-career-awards,Complex
WA Future Health Research and Innovation Fund (FHRI) 2025,Western Australian Government - Department of Health,"Provides secure, long-term funding for health and medical research, innovation, and commercialisation across WA",Multiple streams with rolling applications; Spotlight Program announced annually,ROLLING,,ONGOING,,Applications accepted continuously,No,$40-50 million AUD annually across multiple programs; flagship 5-year commitments under Spotlight Program,"50,000,000","50,000,000",AUD,"50,000,000",HIGH,Per annum amount,Varies by stream,"WA-based researchers, health services, universities, and industry partners","Strategic themes: Connect/Collaborate, Accelerate/Translate, Foundational Confidence",Variable (Moderate to Complex),https://fhrifund.health.wa.gov.au/,Complex
Westpac Social Change Fellowship,Westpac Scholars Trust,Support individuals leading initiatives addressing Australian social issues,Applications typically open late July - early September annually,ANNUAL,,ONGOING,,Annual application cycle,No,"Up to $50,000 per Fellow (includes $10,000 Group Leadership Program)","10,000","50,000",AUD,"50,000",MEDIUM,"Up to amount; Range: 10,000 - 50,000",None required,Australian citizen/permanent resident; 18+ years; Leading existing initiative (not just idea stage); Ideally past validation stage,Innovation approach; Social impact evidence; Leadership capability; Development plan quality; Community support,"High - Multi-stage including EOI, detailed application, interviews",https://scholars.westpac.com.au/scholarships/social-change-fellowship/,Complex
